,geometry,month_timestamp,detection_drives_count,avg_speed,near_miss_pedestrian_ratio,near_miss_bicycle_ratio,near_miss_vehicle_ratio,avg_pedestrian_on_road_volume,avg_bicycle_on_road_volume,braking_count,cornering_count,harsh_braking_ratio,harsh_cornering_ratio
2952,"[[34.789205, 32.071027], [34.789136, 32.070978]]",1/1/2021,537,30.46455104,0,0.001862197,0.003724395,0,0.005586592,31,154,0,0
2953,"[[34.781726, 32.052793], [34.781744, 32.052052]]",1/1/2021,90,29.82339126,0,0,0.011111111,0.011111111,0.022222222,31,43,0,0
2954,"[[34.783288, 32.046722], [34.78332, 32.046604]]",1/1/2021,122,34.24617425,0,0,0.016393443,0,0.008196721,13,98,0,0.169023
2955,"[[34.781748, 32.051917], [34.781706, 32.05158]]",1/1/2021,61,34.15779326,0,0,0,0,0,6,42,0,0
2956,"[[34.782282, 32.054795], [34.782099, 32.054212]]",1/1/2021,221,32.72501051,0,0,0.004524887,0.031674208,0.031674208,30,96,0,0.054240885
2957,"[[34.782494, 32.05547], [34.782282, 32.054795]]",1/1/2021,163,24.76410168,0,0,0.006134969,0.09202454,0.09202454,38,64,0,0.047286063
2958,"[[34.781015, 32.047826], [34.780952, 32.047634]]",1/1/2021,206,33.36632899,0,0,0.014563107,0.014563107,0.004854369,58,141,0,0
2959,"[[34.783035, 32.044761], [34.78298, 32.044209]]",1/1/2021,814,52.48492814,0,0,0,0.003685504,0.015970516,52,568,0,0
2960,"[[34.788093, 32.073423], [34.787186, 32.073448]]",1/1/2021,4340,39.55657798,0.000921659,0,0.007142857,0.038709677,0.013824885,868,2494,0,0.001484524
2961,"[[34.789631, 32.071785], [34.789549, 32.071596]]",1/1/2021,264,46.44754993,0,0,0.026515152,0,0.015151515,76,166,0,0.006024096
2962,"[[34.78189, 32.073545], [34.781887, 32.073707]]",1/1/2021,638,25.2679212,0.003134796,0,0.014106583,0.012539185,0.026645768,97,432,0,0.047112637
2963,"[[34.781885, 32.073797], [34.781833, 32.074298]]",1/1/2021,1761,30.97171689,0.000567859,0,0.002839296,0.077228847,0.059625213,149,726,0,0.006985711
2964,"[[34.78846, 32.105008], [34.7885, 32.104766]]",1/1/2021,708,42.90382629,0,0,0.005649718,0,0,136,541,0,0.001765192
2965,"[[34.788599, 32.063245], [34.788677, 32.063316]]",1/1/2021,10150,50.06385431,0,0,9.85E-05,0,0,745,6970,0,0.005014688
2966,"[[34.788677, 32.063316], [34.788805, 32.063426]]",1/1/2021,9983,51.29982011,0,0,0.000500851,0,0,781,6958,0,0.003741936
2967,"[[34.78706, 32.062271], [34.786987, 32.062158]]",1/1/2021,5763,73.49001421,0,0,0.003643935,0.000347041,0,305,3445,0,0.009040854
2968,"[[34.776036, 32.049098], [34.775978, 32.048848]]",1/1/2021,122,29.70018023,0,0.032786885,0.024590164,0.057377049,0.057377049,26,42,0,0
2969,"[[34.773263, 32.049248], [34.772974, 32.048468]]",1/1/2021,289,50.72593886,0,0,0,0.027681661,0.027681661,28,171,0,0.005904667
2970,"[[34.772038, 32.045711], [34.771939, 32.045378]]",1/1/2021,246,59.79179547,0,0,0,0,0.020325203,19,174,0,0
2971,"[[34.771939, 32.045378], [34.771854, 32.045076]]",1/1/2021,232,59.17803712,0,0,0,0.004310345,0.017241379,26,163,0,0.000766871
2972,"[[34.771556, 32.043876], [34.771513, 32.043721]]",1/1/2021,226,51.92890885,0,0,0.008849558,0.013274336,0.004424779,76,163,0,0
2973,"[[34.767853, 32.045306], [34.767521, 32.044972]]",1/1/2021,233,32.59225172,0.008583691,0,0,0.004291845,0,8,36,0,0.032494333
2974,"[[34.769745, 32.043769], [34.769408, 32.044015]]",1/1/2021,272,55.40698685,0,0,0,0.003676471,0.003676471,36,211,0,0.006760526
2975,"[[34.775882, 32.074819], [34.775413, 32.074059]]",1/1/2021,496,22.94408584,0,0,0,0.235887097,0.310483871,0,0,0,0
2976,"[[34.773654, 32.036245], [34.772942, 32.036113]]",1/1/2021,532,72.96797362,0,0,0.003759398,0,0.005639098,47,296,0,0.01521148
2977,"[[34.765199, 32.038393], [34.764864, 32.038437]]",1/1/2021,2688,87.21987969,0,0,0.000372024,0.000372024,0,129,1672,0,0.024494769
2978,"[[34.768012, 32.037571], [34.767247, 32.037863]]",1/1/2021,3978,89.60032386,0,0,0.000502765,0.000251383,0,247,1974,0,0.014951725
2979,"[[34.762389, 32.038402], [34.762115, 32.03833]]",1/1/2021,2942,86.24831151,0,0,0,0,0,103,2056,0,0.139218415
2980,"[[34.773801, 32.07977], [34.773052, 32.079792]]",1/1/2021,615,23.02104151,0.004878049,0.008130081,0.017886179,0.094308943,0.063414634,105,231,0,0.011812883
2981,"[[34.779715, 32.063464], [34.779355, 32.063265]]",1/1/2021,227,28.1709724,0.004405286,0,0.004405286,0,0.008810573,25,32,0,0
2982,"[[34.785916, 32.057236], [34.786333, 32.058678]]",1/1/2021,8829,51.18167795,0,0,0.014497678,0.000453052,0.000113263,2526,5444,0,0.001102094
2983,"[[34.783895, 32.063668], [34.783131, 32.063837]]",1/1/2021,60,45.26434327,0,0,0.016666667,0.033333333,0.016666667,10,23,0,0
